符合條件商品
資料日期：2020年 12月 30日
策略,	0每日選股 (籌碼/成交量/市值/營收/當沖率)
序號,	代碼,	商品,	成交,	漲幅%,	總量,	籌碼鎖定率,	累計營收年增率,	總市值(億),	股本(億),	主力買賣超,	外資買賣超,	投信買賣超
執行時間：2020-12-31 00:26 符合檔數(56)
1	,6411.TW,晶焱,111,3.74,17017,1.98,16.49,100.08,9.02,382,-239,25
2	,2351.TW,順德,89.3,3.48,19860,1.66,-5.43,162.65,18.21,-916,-1492,1997
3	,2481.TW,強茂,51.8,-1.89,27562,1.4,13.38,172.4,33.28,-4823,-6749,2077
4	,3006.TW,晶豪科,63.7,2.58,42451,1.4,26.77,182.03,28.58,666,352,225
5	,6196.TW,帆宣,115,1.32,2041,1.3,4.92,215.21,18.72,835,934,0
6	,2478.TW,大毅,88.1,-2.33,25997,1.12,19.02,127.54,14.47,-6770,-3339,0
7	,2455.TW,全新,112.5,2.27,4134,0.89,2.17,208.02,18.49,837,701,338
8	,3324.TW,雙鴻,217,2.6,1047,0.84,17.27,191.03,8.84,282,208,-100
9	,5425.TW,台半,64,-1.39,15830,0.83,-3.76,159.65,24.95,-1553,-1327,-321
10	,2515.TW,中工,10,-3.38,51031,0.78,8.18,153.09,153.09,-10118,394,0
11	,6182.TW,合晶,43.65,-0.57,24524,0.77,-4.89,223.01,51.09,1102,-551,895
12	,2605.TW,新興,22.5,-3.85,33332,0.76,0.76,131.7,58.54,-2557,393,0
13	,2456.TW,奇力新,115,2.22,8707,0.74,9.56,295.03,26.1,225,531,20
14	,6223.TW,旺矽,109.5,1.39,990,0.72,7.15,100.06,9.19,292,283,0
15	,8086.TW,宏捷科,137,0.37,9533,0.69,64.81,273.61,19.97,-579,-683,466
16	,6589.TW,台康生技,50,0,2703,0.67,154.4,103.06,20.64,337,-177,0
17	,8358.TW,金居,52.9,-3.11,13330,0.67,17.45,133.62,25.26,-785,-608,13
18	,1513.TW,中興電,56.2,0.54,12106,0.66,12.76,236.04,47.61,-33,-609,679
19	,2401.TW,凌陽,18.6,2.76,39428,0.65,15.83,110.11,59.2,-1512,-678,0
20	,9958.TW,世紀鋼,109,0,4696,0.64,192.2,229.8,22.98,-992,-412,-511
21	,1736.TW,喬山,91.3,2.35,1590,0.63,11.53,277.2,30.36,262,504,0
22	,1598.TW,岱宇,118,4.42,1753,0.62,111.22,142.76,13.19,361,330,0
23	,2607.TW,榮運,20.35,-2.16,16123,0.58,-9.9,217.16,106.71,252,-1282,0
24	,3680.TW,家登,271.5,3.23,1843,0.57,2.42,227.97,8.4,13,20,0
25	,8016.TW,矽創,161.5,0.31,2220,0.53,-2.13,194.02,12.01,-215,19,27
26	,3708.TW,上緯投控,150.5,-1.63,1904,0.52,57.52,140.72,9.35,-344,17,0
27	,3707.TW,漢磊,40.1,-2.2,9122,0.51,5.28,123.69,30.96,-233,670,0
